City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Kavieng,PG,-2.57,150.8,81.9,74,100,5.32,overcast clouds
127,Kismayo,SO,-0.36,42.55,80.04,79,1,10.47,clear sky
128,San Patricio,US,28.02,-97.52,84.0,51,20,10.29,few clouds
129,Khatanga,RU,71.97,102.5,-4.79,90,100,1.99,overcast clouds
130,Saint-Paul,RE,-21.01,55.27,71.6,73,75,12.75,broken clouds
131,Coswig,DE,51.13,13.58,37.4,93,0,6.93,clear sky
132,Komsomolskiy,UZ,40.43,71.72,44.6,42,0,6.93,clear sky
133,Ziguinchor,SN,12.58,-16.27,82.4,94,0,4.7,clear sky
134,Bafata,GW,12.17,-14.75,79.03,79,39,4.45,scattered clouds
135,Marataizes,BR,-21.04,-40.82,74.23,80,0,7.63,clear sky
136,Gossaigaon,IN,26.45,89.99,61.9,82,0,3.29,clear sky
137,Barrow,US,71.29,-156.79,21.2,92,90,19.46,light snow
138,Bluff,NZ,-46.6,168.33,50.0,92,5,4.0,clear sky
139,Wichita Falls,US,33.91,-98.49,75.0,49,1,6.69,clear sky
140,Padang,ID,-0.95,100.35,78.01,77,100,3.18,overcast clouds
141,Bredasdorp,ZA,-34.53,20.04,66.2,82,100,12.75,overcast clouds
142,Ixtapa,MX,20.7,-105.2,86.0,51,5,8.05,clear sky
143,Okakarara,NA,-20.58,17.43,74.95,16,0,10.49,clear sky
144,Chilmari,BD,25.56,89.67,67.57,61,0,4.34,clear sky
145,Carnduff,CA,49.17,-101.8,64.0,40,39,11.99,scattered clouds
146,Broome,US,42.25,-75.83,66.2,32,1,9.17,clear sky
147,Hamilton,US,39.18,-84.53,66.2,45,1,11.41,clear sky
148,Comodoro Rivadavia,AR,-45.87,-67.5,77.0,22,40,21.92,scattered clouds
149,Mbandaka,CD,0.05,18.26,71.8,94,100,1.92,overcast clouds
150,Castro,BR,-24.79,-50.01,68.77,45,0,2.93,clear sky
151,Hilo,US,19.73,-155.09,82.4,61,1,8.05,clear sky
152,San Martin,AR,-33.08,-68.47,78.8,13,0,9.17,clear sky
153,Thompson,CA,55.74,-97.86,8.6,78,90,6.93,overcast clouds
154,Araouane,ML,18.9,-3.53,86.29,17,0,2.77,clear sky
155,Fukue,JP,32.69,128.84,68.97,64,100,10.16,overcast clouds
156,Kalmunai,LK,7.42,81.82,80.19,75,26,3.18,scattered clouds
157,Caravelas,BR,-17.71,-39.25,73.13,93,98,5.97,overcast clouds
158,Ushtobe,KZ,45.25,77.98,37.08,69,68,8.9,broken clouds
159,Torbay,CA,47.67,-52.73,34.0,80,20,6.93,few clouds
160,Hervey Bay,AU,-25.3,152.85,68.0,55,0,5.01,clear sky
161,Mar Del Plata,AR,-38.0,-57.56,71.6,49,75,16.11,moderate rain
162,Tambura,SS,5.6,27.47,72.64,90,83,1.41,light rain
163,New Norfolk,AU,-42.78,147.06,54.0,61,99,5.01,overcast clouds
164,Anloga,GH,5.79,0.9,84.2,79,20,6.93,few clouds
165,Longyearbyen,SJ,78.22,15.64,37.4,74,20,18.34,few clouds
166,Trinidad,BO,-14.83,-64.9,104.9,14,33,3.06,scattered clouds
167,Kemijarvi,FI,66.71,27.43,36.59,81,45,11.92,scattered clouds
168,Laguna,US,38.42,-121.42,77.0,33,1,2.35,clear sky
169,Bouca,CF,6.51,18.27,74.35,70,69,2.24,broken clouds
170,Victoria,HK,22.29,114.16,72.0,81,0,1.99,clear sky
171,Olga,RU,43.74,135.29,38.14,77,100,3.74,overcast clouds
172,Waingapu,ID,-9.66,120.26,80.13,63,0,2.3,clear sky
173,Korla,CN,41.76,86.15,36.45,71,0,2.51,clear sky
174,Sakakah,SA,29.97,40.21,68.0,40,0,6.93,clear sky
175,Rio Gallegos,AR,-51.62,-69.22,57.2,44,75,25.28,broken clouds
176,Leningradskiy,RU,69.38,178.42,31.89,98,100,20.42,overcast clouds
177,Yar-Sale,RU,66.83,70.83,9.82,96,100,11.03,overcast clouds
178,Saldanha,ZA,-33.01,17.94,62.6,88,100,5.82,overcast clouds
179,Diego De Almagro,CL,-26.37,-70.05,81.57,16,0,12.5,clear sky
180,Muli,MV,2.92,73.57,82.96,69,24,3.22,few clouds
181,Lata,PT,40.16,-8.33,62.01,78,100,3.0,overcast clouds
182,Chuy,UY,-33.7,-53.46,65.05,67,0,11.32,clear sky
183,Tuatapere,NZ,-46.13,167.68,50.0,92,3,4.0,clear sky
184,Tautira,PF,-17.73,-149.15,73.4,94,75,19.46,light rain
185,Hambantota,LK,6.12,81.12,79.74,81,87,5.46,overcast clouds
186,Shubarshi,KZ,48.59,57.19,48.13,42,100,7.96,overcast clouds
187,Severo-Kurilsk,RU,50.68,156.12,35.44,84,91,28.41,overcast clouds
188,Havelock,US,34.88,-76.9,75.99,67,16,8.99,few clouds
189,Zyryanka,RU,65.75,150.85,-0.24,91,100,28.23,light snow
190,Guerrero Negro,MX,27.98,-114.06,90.63,17,89,9.15,overcast clouds
191,Provideniya,RU,64.38,-173.3,42.8,81,90,22.37,light intensity shower rain
192,Gazalkent,UZ,41.56,69.77,44.6,36,0,4.7,smoke
193,Ossora,RU,59.24,163.07,30.88,89,98,8.55,overcast clouds
194,Evensk,RU,61.95,159.23,2.3,85,93,11.14,overcast clouds
195,Belyy Yar,RU,53.6,91.39,37.4,59,0,15.66,clear sky
196,Bom Jardim,BR,-7.8,-35.59,87.8,45,40,14.99,scattered clouds
197,Morondava,MG,-20.28,44.28,77.22,78,48,7.25,scattered clouds
198,Vilyuysk,RU,63.76,121.62,-1.17,93,100,4.16,overcast clouds
199,Norman Wells,CA,65.28,-126.83,-4.0,83,40,3.36,fog
200,Ambon,ID,-3.7,128.18,80.01,93,24,6.04,moderate rain
201,Nakamura,JP,32.98,132.93,54.64,86,48,3.42,scattered clouds
202,Farmington,US,36.73,-108.22,71.01,21,1,5.82,clear sky
203,Geraldton,AU,-28.77,114.6,68.0,68,9,12.75,clear sky
204,Balfron,GB,56.07,-4.34,52.0,87,75,8.05,broken clouds
205,Mayya,RU,61.73,130.28,-0.4,84,97,2.24,light snow
206,Severnyy,RU,50.68,36.55,44.6,93,90,13.42,overcast clouds
207,Sola,VU,-13.88,167.55,81.81,81,89,13.2,overcast clouds
208,Hokitika,NZ,-42.72,170.97,57.34,91,100,4.07,light rain
209,Knysna,ZA,-34.04,23.05,64.4,100,53,4.7,broken clouds
210,Luderitz,NA,-26.65,15.16,60.91,85,77,8.7,broken clouds
211,Prince Rupert,CA,54.32,-130.32,42.8,80,90,21.92,moderate rain
212,Narsaq,GL,60.92,-46.05,19.4,41,20,2.24,few clouds
213,Colesberg,ZA,-30.72,25.1,64.94,53,69,5.93,broken clouds
214,Chapaevsk,RU,52.98,49.71,32.0,80,90,4.38,fog
215,Esso,RU,55.93,158.7,18.9,92,53,5.68,broken clouds
216,Menongue,AO,-14.66,17.69,69.13,65,28,5.86,scattered clouds
217,Nipawin,CA,53.37,-104.0,23.0,92,90,17.22,overcast clouds
218,Grindavik,IS,63.84,-22.43,41.0,80,75,41.38,shower rain
219,Beidao,CN,34.57,105.89,44.31,55,100,4.47,overcast clouds
220,Verkhniye Tatyshly,RU,56.29,55.86,31.77,98,67,7.92,broken clouds
221,Syamzha,RU,60.02,41.06,39.49,92,100,14.29,light rain
222,Kidal,ML,18.44,1.41,82.06,19,0,8.39,clear sky
223,Pangkalanbuun,ID,-2.68,111.62,74.88,96,100,1.39,moderate rain
224,Margate,GB,51.38,1.39,51.01,66,19,4.5,few clouds
225,Saint George,US,37.1,-113.58,80.01,21,1,9.37,clear sky
226,Bukachacha,RU,52.98,116.92,19.02,95,100,1.66,overcast clouds
227,Maradi,NE,13.5,7.1,83.43,26,0,7.18,clear sky
228,Tiksi,RU,71.69,128.87,8.6,95,99,6.73,overcast clouds
